id	Question	Model answer	Acceptable?	annotator1	annotator2	annotator3
5	where does the largest amount of federal tax revenue come from	individual income taxes	Yes	Yes	Yes	
6	what is the definition of the word hosanna	special honor	No	No	No	
6	what is the definition of the word hosanna	Hosanna is an expression of praise or adoration, especially in the form of a shout or song.	Yes	Yes	Yes	
6	what is the definition of the word hosanna	an expression of praise or adoration; a cry of acclamation or adoration; a shout of praise or joy.	Yes	Yes	Yes	
6	what is the definition of the word hosanna	save	Yes	Yes	Yes	
6	what is the definition of the word hosanna	rescue, savior	Yes	Yes	Yes	
6	what is the definition of the word hosanna	save, rescue, savior	Yes	Yes	Yes	
6	what is the definition of the word hosanna	rescue	Yes	Yes	No	Yes
7	when does boomer find out she a cylon	Unknown.	No	No	Yes	No
7	when does boomer find out she a cylon	` ` downloaded''	Yes	Yes	Yes	No
7	when does boomer find out she a cylon	In the episode "Crossroads, Part II"	No	No	No	Yes
7	when does boomer find out she a cylon	Colonial Day	No	No	No	
7	when does boomer find out she a cylon	In the final episode	No	No	No	
7	when does boomer find out she a cylon	Downloaded	Yes	Yes	Yes	No
7	when does boomer find out she a cylon	final episode	No	No	No	
8	who sang the most number of songs in the world	Unknown.	No	No	No	
8	who sang the most number of songs in the world	Asha Bhosle	Yes	Yes	Yes	
8	who sang the most number of songs in the world	The Beatles	No	No	No	
8	who sang the most number of songs in the world	Indian playback singer Asha Bhosle	Yes	Yes	Yes	
8	who sang the most number of songs in the world	Paul McCartney	No	No	No	
8	who sang the most number of songs in the world	Lata Mangeshkar	No	No	No	
8	who sang the most number of songs in the world	beatles	No	No	No	
8	who sang the most number of songs in the world	Sripathi Panditaradhyula Balasubrahmanyam	Yes	Yes	Yes	
9	who sang the song oh what a lonely boy	paul anka	No	No	No	
9	who sang the song oh what a lonely boy	Andrew Gold	Yes	Yes	Yes	
9	who sang the song oh what a lonely boy	Elton John	No	No	No	
9	who sang the song oh what a lonely boy	The Black Keys	No	No	No	
9	who sang the song oh what a lonely boy	The song "Oh What a Lonely Boy" was sung by Jack Savoretti.	No	No	No	
10	who did kenny rogers sing mary did you know with	wynonna judd	Yes	Yes	Yes	
10	who did kenny rogers sing mary did you know with	Kenny Rogers sang "Mary, Did You Know?" with Wynonna Judd.	Yes	Yes	Yes	
11	who introduced the first chrismas tree to the uk	Queen Charlotte	Yes	Yes	Yes	
11	who introduced the first chrismas tree to the uk	North American Lutherans	No	No	No	
11	who introduced the first chrismas tree to the uk	Prince Albert	Yes	No	Yes	Yes
11	who introduced the first chrismas tree to the uk	Charlotte of Mecklenburg-Strelitz	Yes	Yes	Yes	
11	who introduced the first chrismas tree to the uk	charlotte of mecklenburg - strelitz	Yes	Yes	Yes	
11	who introduced the first chrismas tree to the uk	Prince Albert, husband of Queen Victoria, is credited with introducing the first Christmas tree to the UK in 1841.	Yes	No	Yes	Yes
12	who hit 6 sixes in an over in test cricket	Yuvraj Singh	Yes	Yes	Yes	
12	who hit 6 sixes in an over in test cricket	chris gayle	No	No	No	
12	who hit 6 sixes in an over in test cricket	Malcolm Nash	No	No	No	
12	who hit 6 sixes in an over in test cricket	indian cricketer yuvraj singh	Yes	Yes	Yes	
12	who hit 6 sixes in an over in test cricket	Yuvraj Singh.	No	Yes	No	No
12	who hit 6 sixes in an over in test cricket	Herschelle Gibbs	No	No	No	
13	who is rose in the fall season 2	Lena	No	No	No	
13	who is rose in the fall season 2	caity lotz	No	No	No	
13	who is rose in the fall season 2	Rose is a new character introduced in the second season of the show Fall. She is a mysterious woman who is connected to the supernatural events occurring in the town.	No	No	Yes	No
13	who is rose in the fall season 2	Lauren Cohan	No	No	No	
13	who is rose in the fall season 2	Christine White	No	No	No	
13	who is rose in the fall season 2	the headmistress Cinderella	No	No	No	
13	who is rose in the fall season 2	Rose Leslie	No	No	No	
13	who is rose in the fall season 2	valene kane	Yes	Yes	Yes	
14	when was the letter j introduced to the alphabet	Late 16th century	No	No	Yes	No
14	when was the letter j introduced to the alphabet	fifteenth century	No	No	No	
14	when was the letter j introduced to the alphabet	by the fifteenth century	No	No	No	
14	when was the letter j introduced to the alphabet	the 17th century	No	No	No	
14	when was the letter j introduced to the alphabet	the 16th century	Yes	Yes	Yes	
14	when was the letter j introduced to the alphabet	The letter J was introduced to the English alphabet in the 16th century.	Yes	Yes	Yes	
15	what was the full name of the titanic	rms titanic	Yes	Yes	Yes	
15	what was the full name of the titanic	RMS Titanic.	Yes	Yes	Yes	
15	what was the full name of the titanic	Titan	No	No	No	
15	what was the full name of the titanic	SS Titanic	No	No	No	
16	who made the poppies at tower of london	Paul Cummins and Tom Piper	Yes	Yes	Yes	
16	who made the poppies at tower of london	Paul Cummins	Yes	Yes	Yes	
16	who made the poppies at tower of london	The Poppy Factory	No	No	No	
16	who made the poppies at tower of london	The poppies at the Tower of London were created by artist Paul Cummins and designer Tom Piper.	Yes	Yes	Yes	
16	who made the poppies at tower of london	foxs	No	No	No	
16	who made the poppies at tower of london	tom piper	Yes	Yes	Yes	
17	what is mercy mercy me by marvin gaye about	sorrow regarding environment	Yes	Yes	Yes	
17	what is mercy mercy me by marvin gaye about	the environment	Yes	Yes	Yes	
17	what is mercy mercy me by marvin gaye about	Environmental pollution and destruction of nature	Yes	Yes	Yes	
17	what is mercy mercy me by marvin gaye about	environmental	No	No	No	
17	what is mercy mercy me by marvin gaye about	"Mercy Mercy Me (The Ecology)" by Marvin Gaye is a song about the environmental destruction of the Earth and the need for conservation.	Yes	Yes	Yes	
17	what is mercy mercy me by marvin gaye about	the ecology	Yes	Yes	Yes	
18	when is the last time the jaguars won a playoff game	2017	Yes	Yes	Yes	
18	when is the last time the jaguars won a playoff game	The Jacksonville Jaguars last won a playoff game on January 14, 2018, when they defeated the Pittsburgh Steelers 45-42 in the AFC Divisional Round.	Yes	Yes	Yes	
18	when is the last time the jaguars won a playoff game	January 7, 2018	No	No	No	
18	when is the last time the jaguars won a playoff game	2007	No	No	No	
18	when is the last time the jaguars won a playoff game	January 14 , 2018	Yes	Yes	Yes	
19	who got the most rings in the nba	Bill Russell, with 11 NBA championships.	Yes	Yes	Yes	
19	who got the most rings in the nba	bill russell	Yes	Yes	Yes	
19	who got the most rings in the nba	Bill Russell (11 rings)	Yes	Yes	Yes	
20	where did the ancestors of the domestic goat originate	The ancestors of the domestic goat originated in the Middle East and Central Asia.	Yes	Yes	Yes	
20	where did the ancestors of the domestic goat originate	the mountains of western Asia	Yes	Yes	Yes	
20	where did the ancestors of the domestic goat originate	Southwest Asia and Eastern Europe	Yes	No	Yes	Yes
20	where did the ancestors of the domestic goat originate	wild goat of southwestern asia	Yes	Yes	Yes	
20	where did the ancestors of the domestic goat originate	Southwest Asia	Yes	Yes	Yes	
20	where did the ancestors of the domestic goat originate	eurasia	Yes	Yes	Yes	
21	who played major hochstetter in hogan's heroes	Werner Klemperer.	No	No	No	
21	who played major hochstetter in hogan's heroes	howard caine	Yes	Yes	Yes	
22	latest series of keeping up with the kardashians	The latest series of Keeping Up with the Kardashians is Season 18.	Yes	Yes	Yes	
22	latest series of keeping up with the kardashians	Rob & Chyna	No	No	No	
22	latest series of keeping up with the kardashians	Season 17	Yes	No	Yes	Yes
22	latest series of keeping up with the kardashians	The fifteenth season	Yes	Yes	No	Yes
22	latest series of keeping up with the kardashians	13th season	No	No	No	
22	latest series of keeping up with the kardashians	seventh season	No	No	No	
23	who plays reggie the robot in justin's house	Justin Fletcher	No	No	No	
23	who plays reggie the robot in justin's house	Steven "Steven" Kynman	No	No	No	Yes
23	who plays reggie the robot in justin's house	steven ` ` steve'' kynman	No	No	No	Yes
23	who plays reggie the robot in justin's house	Steven "Steve" Kynman	No	No	No	Yes
23	who plays reggie the robot in justin's house	Robert James	No	No	No	
23	who plays reggie the robot in justin's house	carly hannah chaikin	No	No	No	
23	who plays reggie the robot in justin's house	Steven Kynman	No	No	No	Yes
23	who plays reggie the robot in justin's house	Reggie De Leon plays Reggie the Robot in Justin's House.	No	No	No	
24	who wrote he ain't heavy he's my brother lyrics	Bobby Scott	Yes	Yes	Yes	
24	who wrote he ain't heavy he's my brother lyrics	The lyrics to "He Ain't Heavy, He's My Brother" were written by Bobby Scott and Bob Russell.	Yes	Yes	Yes	
24	who wrote he ain't heavy he's my brother lyrics	bob russell	Yes	Yes	Yes	
25	where does the lincoln highway begin and end	Lincoln Park in San Francisco	Yes	Yes	Yes	
25	where does the lincoln highway begin and end	The Lincoln Highway begins in Times Square in New York City and ends in San Francisco, California.	Yes	Yes	Yes	
25	where does the lincoln highway begin and end	kearney nebraska	No	No	No	
25	where does the lincoln highway begin and end	Times Square in New York City to Lincoln Park in San Francisco	Yes	Yes	Yes	
25	where does the lincoln highway begin and end	Times Square	Yes	Yes	Yes	
26	when was son of a preacher man released	September 1968	No	No	No	
26	when was son of a preacher man released	"Son of a Preacher Man" was released in 1968 by Dusty Springfield.	Yes	Yes	Yes	
26	when was son of a preacher man released	1968	Yes	Yes	Yes	
27	created propaganda to support the war effort & encourage the sale of war bonds	William Gibbs McAdoo	No	No	No	
27	created propaganda to support the war effort & encourage the sale of war bonds	war advertising board	Yes	Yes	Yes	
27	created propaganda to support the war effort & encourage the sale of war bonds	The Committee on Public Information	Yes	Yes	Yes	
27	created propaganda to support the war effort & encourage the sale of war bonds	The War Advertising Board	Yes	Yes	Yes	
27	created propaganda to support the war effort & encourage the sale of war bonds	The United States government created propaganda to support the war effort and encourage the sale of war bonds during World War II.	Yes	Yes	No	Yes
28	what does ss stand for on naval ships	Submarine	No	No	No	
28	what does ss stand for on naval ships	SS stands for "Steam Ship" on naval ships.	Yes	Yes	Yes	
28	what does ss stand for on naval ships	United States Ship	No	Yes	No	No
28	what does ss stand for on naval ships	destroyer escort	No	No	No	
28	what does ss stand for on naval ships	submarine specialist	No	No	No	
28	what does ss stand for on naval ships	steamship	Yes	Yes	Yes	
28	what does ss stand for on naval ships	Steam Ship	Yes	Yes	Yes	
29	india south africa test series 2018 highest runs	Virat Kohli scored the highest runs in the India-South Africa Test series in 2018 with 558 runs.	No	No	Yes	No
29	india south africa test series 2018 highest runs	558	No	No	No	
29	india south africa test series 2018 highest runs	296	No	No	No	
29	india south africa test series 2018 highest runs	Virat Kohli ( India ) - 558 runs	No	No	Yes	No
30	who is the lead singer of depeche mode	Dave Gahan.	Yes	Yes	Yes	
30	who is the lead singer of depeche mode	Dave Gahan	Yes	Yes	Yes	
31	where does the show the path take place	upstate new york	Yes	Yes	Yes	
31	where does the show the path take place	Peru	No	No	No	
31	where does the show the path take place	The Path is an American drama television series created by Jessica Goldberg and starring Aaron Paul, Michelle Monaghan, and Hugh Dancy. It takes place in upstate New York.	Yes	Yes	Yes	
31	where does the show the path take place	Parksdale, Long Island	No	No	Yes	No
32	who won the wwe championship elimination chamber 2018	Roman Reigns	Yes	Yes	Yes	
32	who won the wwe championship elimination chamber 2018	Alexa Bliss	Yes	Yes	Yes	
32	who won the wwe championship elimination chamber 2018	The 2018 WWE Championship Elimination Chamber was won by Alexa Bliss.	Yes	Yes	Yes	
33	who played the female lead in the 1942 film casablanca	Ingrid Bergman.	Yes	Yes	Yes	
33	who played the female lead in the 1942 film casablanca	Ingrid Bergman	Yes	Yes	Yes	
34	when did teenage mutant ninja turtles come out	August 8, 2014	Yes	Yes	Yes	
34	when did teenage mutant ninja turtles come out	March 30 1990	Yes	Yes	Yes	
34	when did teenage mutant ninja turtles come out	The Teenage Mutant Ninja Turtles first appeared in an American comic book published in May 1984.	Yes	Yes	Yes	
34	when did teenage mutant ninja turtles come out	May 1984	Yes	Yes	Yes	
34	when did teenage mutant ninja turtles come out	1984	Yes	Yes	Yes	
35	who turns into a bear in the hobbit	Beorn	Yes	Yes	Yes	
35	who turns into a bear in the hobbit	Beorn.	Yes	Yes	Yes	
36	what is the setting of the book hoot	an unnamed fantasy world	No	No	No	
36	what is the setting of the book hoot	Coconut Cove, Florida	Yes	Yes	Yes	
36	what is the setting of the book hoot	florida	Yes	Yes	Yes	
36	what is the setting of the book hoot	The setting of the book Hoot is Florida.	Yes	Yes	Yes	
36	what is the setting of the book hoot	Coconut Cove , Florida	Yes	Yes	Yes	
37	when did michael jordan return to the nba	March 1995	Yes	Yes	Yes	
37	when did michael jordan return to the nba	Michael Jordan returned to the NBA in 1995.	Yes	Yes	Yes	
37	when did michael jordan return to the nba	2001–02	Yes	Yes	Yes	
37	when did michael jordan return to the nba	March 18 , 1995	Yes	Yes	Yes	
38	when was the miraculous journey of edward tulane published	2006	Yes	Yes	Yes	
38	when was the miraculous journey of edward tulane published	The Miraculous Journey of Edward Tulane was published in 2006.	Yes	Yes	Yes	
39	who has the most 70 point games in nba history	David Robinson	No	No	No	
39	who has the most 70 point games in nba history	wilt chamberlain	Yes	Yes	Yes	
39	who has the most 70 point games in nba history	David Thompson	No	No	No	
39	who has the most 70 point games in nba history	Wilt Chamberlain has the most 70 point games in NBA history with 32.	Yes	Yes	Yes	
39	who has the most 70 point games in nba history	Kareem Abdul-Jabbar	No	No	No	
40	where is the slide placed on the microscope	The slide is placed on the stage of the microscope.	Yes	Yes	Yes	
40	where is the slide placed on the microscope	stage	Yes	Yes	Yes	
40	where is the slide placed on the microscope	On the stage	Yes	Yes	Yes	
41	what is the oasis in ready player one	virtual reality	Yes	Yes	Yes	
41	what is the oasis in ready player one	virtual reality entertainment universe	Yes	Yes	Yes	
41	what is the oasis in ready player one	A virtual reality world	Yes	Yes	Yes	
41	what is the oasis in ready player one	The Oasis in Ready Player One is a virtual reality world created by James Halliday. It is a massive online universe where people can interact, play games, and explore.	Yes	Yes	Yes	
41	what is the oasis in ready player one	parzival	No	No	No	
42	who was involved in the mapp vs ohio case	Dolly Mapp	Yes	Yes	Yes	
42	who was involved in the mapp vs ohio case	Edward Keeling	No	No	No	
42	who was involved in the mapp vs ohio case	dollree mapp	Yes	Yes	Yes	
42	who was involved in the mapp vs ohio case	Potter Stewart	No	No	No	
42	who was involved in the mapp vs ohio case	United States	No	No	No	
42	who was involved in the mapp vs ohio case	The Mapp v. Ohio case was a landmark decision by the United States Supreme Court in 1961 that held that evidence obtained in violation of the Fourth Amendment, which protects against unreasonable searches and seizures, could not be used in state criminal prosecutions. The case was brought by Dollree Mapp, who was convicted of possessing obscene materials after police officers searched her home without a warrant.	Yes	Yes	Yes	
42	who was involved in the mapp vs ohio case	don king	Yes	Yes	No	Yes
43	who is known as the father of indian constitution	bhimrao ramji ambedkar	Yes	Yes	Yes	
43	who is known as the father of indian constitution	Dr. B.R. Ambedkar is known as the father of the Indian Constitution.	Yes	Yes	Yes	
43	who is known as the father of indian constitution	B. R. Ambedkar	Yes	Yes	Yes	
44	where did this case of product tampering occur	Tylenol	No	No	No	
44	where did this case of product tampering occur	the bottling plant	No	No	Yes	No
44	where did this case of product tampering occur	Unknown.	No	No	No	
44	where did this case of product tampering occur	the United States	Yes	Yes	Yes	
44	where did this case of product tampering occur	us	Yes	Yes	Yes	
44	where did this case of product tampering occur	united states	Yes	Yes	Yes	
44	where did this case of product tampering occur	The Bay Area Laboratory Co-operative	No	No	No	
44	where did this case of product tampering occur	never solved	No	No	Yes	No
45	who plays rachel on jessie punch dumped love	Kristen Bell	No	No	No	
45	who plays rachel on jessie punch dumped love	Unknown.	No	No	No	
45	who plays rachel on jessie punch dumped love	Emily Watson	No	No	No	
45	who plays rachel on jessie punch dumped love	Debby Ryan	No	No	Yes	No
45	who plays rachel on jessie punch dumped love	Rachel Wilson	No	No	No	
45	who plays rachel on jessie punch dumped love	Bre Blair	No	No	No	
45	who plays rachel on jessie punch dumped love	Sarah Ann McKinnon	No	No	No	
45	who plays rachel on jessie punch dumped love	Rachel Fielding	No	No	No	
45	who plays rachel on jessie punch dumped love	eva bourne	No	No	No	
45	who plays rachel on jessie punch dumped love	szohr	No	No	No	
46	when did mcgee became a regular on ncis	season two	Yes	Yes	Yes	
46	when did mcgee became a regular on ncis	McGee became a regular on NCIS in the show's third season, which premiered in September 2005.	No	No	No	
46	when did mcgee became a regular on ncis	Season 3	No	No	No	
47	when did american idol end the first time	April 7, 2016	Yes	Yes	Yes	
47	when did american idol end the first time	April 7 2016	Yes	Yes	Yes	
47	when did american idol end the first time	American Idol ended for the first time on April 7, 2016.	Yes	Yes	Yes	
47	when did american idol end the first time	April 7 , 2016	Yes	Yes	Yes	
48	do you have to have a gun permit to shoot at a range	not required in all jurisdictions	Yes	Yes	Yes	
48	do you have to have a gun permit to shoot at a range	No, but you may need to provide proof of identity and pass a background check.	Yes	No	Yes	Yes
48	do you have to have a gun permit to shoot at a range	no	Yes	Yes	Yes	
48	do you have to have a gun permit to shoot at a range	Yes, you must have a valid gun permit to shoot at a range.	No	No	Yes	No
49	who developed the central processing unit (cpu)	john william mauchly	No	No	No	
49	who developed the central processing unit (cpu)	Intel Corporation.	No	No	No	
49	who developed the central processing unit (cpu)	John von Neumann	No	No	Yes	No
49	who developed the central processing unit (cpu)	Intel	No	No	No	
49	who developed the central processing unit (cpu)	federico faggin	Yes	Yes	No	Yes
50	how did leo dalton die in silent witness	explosion	Yes	Yes	Yes	
50	how did leo dalton die in silent witness	contracted polio	No	No	No	
50	how did leo dalton die in silent witness	Leo Dalton died in Silent Witness after being shot by a sniper while trying to protect a witness.	No	No	No	
50	how did leo dalton die in silent witness	in an explosion	Yes	Yes	Yes	
50	how did leo dalton die in silent witness	polio	No	No	No	
50	how did leo dalton die in silent witness	He was shot by a sniper.	No	No	No	
50	how did leo dalton die in silent witness	a heart attack	No	No	No	
51	where does the last name tavarez come from	The last name Tavarez is of Spanish origin and is derived from the personal name Távarez, which is a combination of the Germanic elements taw (forest) and ric (power).	Yes	Yes	Yes	
51	where does the last name tavarez come from	Portugal	No	No	No	
51	where does the last name tavarez come from	Portuguese	No	No	No	
51	where does the last name tavarez come from	spanish	Yes	Yes	Yes	
52	when was i look at the world poem written	2002	No	No	No	
52	when was i look at the world poem written	"I Look at the World" was written by Rabindranath Tagore in 1921.	No	No	No	
52	when was i look at the world poem written	1850	No	No	No	
52	when was i look at the world poem written	1865	No	No	No	
52	when was i look at the world poem written	2000	No	No	No	
52	when was i look at the world poem written	1842	No	No	No	
53	who played tom on as the world turns	Scott Holmes	Yes	Yes	Yes	
53	who played tom on as the world turns	justin deas	Yes	Yes	Yes	
53	who played tom on as the world turns	Scott Holmes played Tom Hughes on As the World Turns from 1985 to 1986.	Yes	Yes	Yes	
54	criminal minds episode where jj becomes a profiler	The Boogeyman	No	No	No	
54	criminal minds episode where jj becomes a profiler	The Job	No	No	No	
54	criminal minds episode where jj becomes a profiler	The season seven premiere	Yes	Yes	Yes	
54	criminal minds episode where jj becomes a profiler	"The Instincts" (Season 3, Episode 4)	No	No	No	
54	criminal minds episode where jj becomes a profiler	season seven premiere	Yes	Yes	Yes	
54	criminal minds episode where jj becomes a profiler	The Fight	No	No	No	
54	criminal minds episode where jj becomes a profiler	The Big Game	No	No	No	
54	criminal minds episode where jj becomes a profiler	Proof	No	No	No	
54	criminal minds episode where jj becomes a profiler	"The Longest Night" (Season 5, Episode 15).	No	No	No	
55	which battle ended britain's support for the south	Battle of Culloden	No	No	No	
55	which battle ended britain's support for the south	The Siege of Charleston	No	No	No	
55	which battle ended britain's support for the south	The Siege of Yorktown	No	No	No	
55	which battle ended britain's support for the south	Appomattox Court House	No	Yes	No	No
55	which battle ended britain's support for the south	the battle of camden	No	No	No	
55	which battle ended britain's support for the south	The Battle of Culloden	No	No	No	
55	which battle ended britain's support for the south	culloden	No	No	No	
55	which battle ended britain's support for the south	The Battle of Appomattox Court House in April 1865 ended Britain's support for the Confederacy in the American Civil War.	No	Yes	No	No
56	who sang buddy can you spare a dime	Bing Crosby.	Yes	Yes	No	Yes
56	who sang buddy can you spare a dime	Rudy Vallee	Yes	Yes	Yes	
56	who sang buddy can you spare a dime	Jay Gorney	No	No	No	
56	who sang buddy can you spare a dime	Yip Harburg	No	No	No	
56	who sang buddy can you spare a dime	bing crosby	Yes	Yes	Yes	
57	when do the walking dead comics come out	2003	Yes	Yes	No	Yes
57	when do the walking dead comics come out	monthly	No	No	Yes	No
57	when do the walking dead comics come out	The Walking Dead comics are released on the first Wednesday of every month.	No	No	No	
57	when do the walking dead comics come out	The Walking Dead comics are released on the first Tuesday of each month.	No	No	No	
58	where was the first session of the assam association held in1905	guwahati	No	No	No	
58	where was the first session of the assam association held in1905	Dibrugarh	Yes	Yes	No	Yes
58	where was the first session of the assam association held in1905	Shillong	No	No	No	
58	where was the first session of the assam association held in1905	Kohima, Nagaland	No	No	No	
58	where was the first session of the assam association held in1905	Assam, India	Yes	Yes	Yes	
58	where was the first session of the assam association held in1905	The first session of the Assam Association was held in Shillong in 1905.	No	No	No	
58	where was the first session of the assam association held in1905	Sivan	No	No	No	
58	where was the first session of the assam association held in1905	golaghat	No	No	No	
59	who was the oldest man elected president of usa	Donald Trump (age 70)	Yes	Yes	Yes	
59	who was the oldest man elected president of usa	William Henry Harrison	No	No	No	
59	who was the oldest man elected president of usa	Donald Trump	Yes	Yes	Yes	
59	who was the oldest man elected president of usa	Donald Trump, at age 70, was the oldest man elected president of the United States.	Yes	Yes	Yes	
60	under article 1 what is the minimum age required to serve in the house of representatives	25	Yes	Yes	Yes	
60	under article 1 what is the minimum age required to serve in the house of representatives	25 years old.	Yes	Yes	Yes	
61	who was allowed to vote in the roman republic	ordinary citizens	No	No	No	
61	who was allowed to vote in the roman republic	In the Roman Republic, only male citizens were allowed to vote.	Yes	Yes	Yes	
61	who was allowed to vote in the roman republic	adult male citizens	Yes	Yes	Yes	
61	who was allowed to vote in the roman republic	Roman citizens	Yes	No	Yes	Yes
61	who was allowed to vote in the roman republic	all full Roman citizens	Yes	Yes	Yes	
62	who played anne in anne with an e	Amybeth McNulty.	Yes	Yes		Yes
62	who played anne in anne with an e	amybeth mcnulty	Yes	Yes	Yes	
63	what was going on in the world in 1900	the boxer rebellion	Yes	Yes	Yes	
63	what was going on in the world in 1900	The Second Industrial Revolution	No	No	Yes	No
63	what was going on in the world in 1900	World War II	No	No	No	
63	what was going on in the world in 1900	In 1900, the world was in the midst of the Second Industrial Revolution, with advances in technology, transportation, and communication. The Boxer Rebellion was taking place in China, and the Boer War was taking place in South Africa. The United States was in the midst of the Progressive Era, and the population of the world was estimated to be 1.6 billion.	Yes	Yes	Yes	
63	what was going on in the world in 1900	The 1900s	No	No	No	
63	what was going on in the world in 1900	universal exposition	Yes	Yes	Yes	
63	what was going on in the world in 1900	The 1900 Summer Olympics	Yes	Yes	Yes	
63	what was going on in the world in 1900	World's Fair	Yes	Yes	Yes	
63	what was going on in the world in 1900	The Boxer Rebellion in China	Yes	Yes		Yes
64	what do mobile numbers start with in the uk	1	No	No	No	
64	what do mobile numbers start with in the uk	Mobile numbers in the UK typically start with 07.	Yes	Yes		Yes
64	what do mobile numbers start with in the uk	77	No	No	No	
64	what do mobile numbers start with in the uk	076xx	No	No	No	
64	what do mobile numbers start with in the uk	7	No	No	No	
64	what do mobile numbers start with in the uk	07xxx xxxxxx	Yes	Yes	Yes	
65	who has the most rushing yards in a super bowl	Emmitt Smith	No	No	No	
65	who has the most rushing yards in a super bowl	Demaryius Thomas	No	No	No	
65	who has the most rushing yards in a super bowl	The record for most rushing yards in a Super Bowl is held by San Francisco 49ers running back Raheem Mostert, who had 220 yards in Super Bowl LIV.	No	No	Yes	No
65	who has the most rushing yards in a super bowl	Terrell Davis	No	No	No	
65	who has the most rushing yards in a super bowl	marcus allen	No	No	No	
65	who has the most rushing yards in a super bowl	Randall Cunningham	No	No	No	
65	who has the most rushing yards in a super bowl	Timmy Smith (Washington Redskins) - 204 yards in Super Bowl XXII	Yes	Yes	Yes	
65	who has the most rushing yards in a super bowl	James White	No	No	No	
66	who sings the original windmills of your mind	noel harrison	Yes	Yes	Yes	
66	who sings the original windmills of your mind	José Feliciano	No	No	No	
66	who sings the original windmills of your mind	Dusty Springfield.	No	No	No	
67	when was the canadian pacific railway started and finished	Started in 1881 and finished in 1885.	Yes	Yes	Yes	
67	when was the canadian pacific railway started and finished	between 1968 and 1996	No	No	No	
67	when was the canadian pacific railway started and finished	between 1881 and 1885	Yes	Yes	Yes	
67	when was the canadian pacific railway started and finished	1881 and 1885	Yes	Yes	Yes	
67	when was the canadian pacific railway started and finished	The Canadian Pacific Railway was started in 1881 and completed in 1885.	Yes	Yes	Yes	
68	when did the dallas cowboys win their last playoff game	The Dallas Cowboys last won a playoff game on January 15, 2017.	No	No	No	
68	when did the dallas cowboys win their last playoff game	January 4, 2015	Yes	Yes	No	Yes
68	when did the dallas cowboys win their last playoff game	1995	No	No	No	
68	when did the dallas cowboys win their last playoff game	January 15 , 2017	No	No	No	
68	when did the dallas cowboys win their last playoff game	January 16, 1972	No	No	No	
68	when did the dallas cowboys win their last playoff game	2014	Yes	Yes	No	Yes
69	who starred in the film walk the line	Joaquin Phoenix	Yes	Yes	Yes	
69	who starred in the film walk the line	Reese Witherspoon	Yes	Yes	Yes	
69	who starred in the film walk the line	Joaquin Phoenix and Reese Witherspoon.	Yes	Yes		Yes
69	who starred in the film walk the line	Robert Patrick	Yes	Yes	Yes	
70	form from material that has accumulated on the earths surface	Sedimentary rocks	Yes	Yes	Yes	
70	form from material that has accumulated on the earths surface	sedimentary rock	Yes	Yes	Yes	
70	form from material that has accumulated on the earths surface	Soil	Yes	No	Yes	Yes
70	form from material that has accumulated on the earths surface	lava	No	No	No	
70	form from material that has accumulated on the earths surface	Soil.	Yes	No	Yes	Yes
71	how many countries in the world have scouts	29	No	No	No	
71	how many countries in the world have scouts	216	Yes	Yes	No	Yes
71	how many countries in the world have scouts	Unknown.	No	No	No	
72	who was the girl in the video brenda got a baby	Unknown.	No	No	No	
72	who was the girl in the video brenda got a baby	Ethel "Edy" Proctor	Yes	Yes	Yes	
