id	Question	Model answer	Acceptable?	gpt-4
13	who is rose in the fall season 2	Lauren Cohan	No	No, the candidate is not correct.
13	who is rose in the fall season 2	Christine White	No	No, the candidate is not correct.
13	who is rose in the fall season 2	the headmistress Cinderella	No	No, the candidate is not correct.
13	who is rose in the fall season 2	Rose Leslie	No	No, the candidate is not correct.
13	who is rose in the fall season 2	valene kane	Yes	Yes, the candidate is correct.
14	when was the letter j introduced to the alphabet	Late 16th century	No	No, the candidate is not correct. The letter "j" was introduced to the alphabet in 1524, which is in the early 16th century, not the late 16th century.
14	when was the letter j introduced to the alphabet	fifteenth century	No	No, the candidate is not correct. The letter "j" was introduced to the alphabet in 1524, which is in the 16th century, not the 15th century.
14	when was the letter j introduced to the alphabet	by the fifteenth century	No	No, the candidate is not correct. The letter "j" was introduced to the alphabet in 1524, not by the fifteenth century.
14	when was the letter j introduced to the alphabet	the 17th century	No	No, the candidate is not correct. The letter J was introduced to the alphabet in 1524, which is in the 16th century, not the 17th century.
14	when was the letter j introduced to the alphabet	the 16th century	Yes	Yes, the candidate is correct. The letter J was introduced to the alphabet in the 16th century, specifically in 1524.
14	when was the letter j introduced to the alphabet	The letter J was introduced to the English alphabet in the 16th century.	Yes	Yes, the candidate is correct. The letter J was introduced to the English alphabet in the 16th century, specifically in 1524.
15	what was the full name of the titanic	rms titanic	Yes	Yes, the candidate is correct.
15	what was the full name of the titanic	RMS Titanic.	Yes	Yes, the candidate is correct.
15	what was the full name of the titanic	Titan	No	No, the candidate is not correct. The full name of the Titanic is RMS Titanic.
15	what was the full name of the titanic	SS Titanic	No	No, the candidate is not correct. The full name of the Titanic is RMS Titanic, not SS Titanic.
16	who made the poppies at tower of london	Paul Cummins and Tom Piper	Yes	Yes, the candidate is correct. The poppies at the Tower of London were created by artist Paul Cummins and stage designer Tom Piper.
16	who made the poppies at tower of london	Paul Cummins	Yes	Yes, the candidate is correct. Paul Cummins, a ceramic artist, and Tom Piper, a stage designer, both created the poppies at the Tower of London.
16	who made the poppies at tower of london	The Poppy Factory	No	No, the candidate is not correct. The poppies at the Tower of London were created by stage designer Tom Piper and ceramic artist Paul Cummins.
16	who made the poppies at tower of london	The poppies at the Tower of London were created by artist Paul Cummins and designer Tom Piper.	Yes	Yes, the candidate is correct.
16	who made the poppies at tower of london	foxs	No	No, the candidate is not correct.
16	who made the poppies at tower of london	tom piper	Yes	Yes, the candidate is correct. Tom Piper, along with Paul Cummins, created the poppies at the Tower of London.
17	what is mercy mercy me by marvin gaye about	sorrow regarding environment	Yes	Yes, the candidate is correct. "Mercy Mercy Me" by Marvin Gaye is about sorrow regarding the environment.
17	what is mercy mercy me by marvin gaye about	the environment	Yes	Yes, the candidate is correct.
17	what is mercy mercy me by marvin gaye about	Environmental pollution and destruction of nature	Yes	Yes, the candidate is correct. "Mercy Mercy Me" by Marvin Gaye is about environmental pollution and the destruction of nature.
17	what is mercy mercy me by marvin gaye about	environmental	Yes	Yes, the candidate is correct. "Mercy Mercy Me" by Marvin Gaye is about environmental issues and the sorrow regarding the environment.
17	what is mercy mercy me by marvin gaye about	Mercy Mercy Me (The Ecology) by Marvin Gaye is a song about the environmental destruction of the Earth and the need for conservation.	Yes	Yes, the candidate is correct.
17	what is mercy mercy me by marvin gaye about	the ecology	Yes	Yes, the candidate is correct. "Mercy Mercy Me" by Marvin Gaye is about the ecology and the environment, expressing concern and sorrow for the damage done to it.
18	when is the last time the jaguars won a playoff game	2017	Yes	Yes, the candidate is correct.
18	when is the last time the jaguars won a playoff game	The Jacksonville Jaguars last won a playoff game on January 14, 2018, when they defeated the Pittsburgh Steelers 45-42 in the AFC Divisional Round.	No	No, the candidate is not correct.
18	when is the last time the jaguars won a playoff game	January 7, 2018	Yes	Yes, the candidate is correct. The Jacksonville Jaguars won a playoff game on January 7, 2018, which is during the 2017 NFL season.
18	when is the last time the jaguars won a playoff game	2007	No	No, the candidate is not correct.
18	when is the last time the jaguars won a playoff game	January 14 , 2018	Yes	Yes, the candidate is correct. The Jacksonville Jaguars won a playoff game on January 14, 2018, against the Pittsburgh Steelers.
19	who got the most rings in the nba	Bill Russell, with 11 NBA championships.	Yes	Yes, the candidate is correct.
19	who got the most rings in the nba	bill russell	Yes	Yes, the candidate is correct.
19	who got the most rings in the nba	Bill Russell (11 rings)	Yes	Yes, the candidate is correct.
20	where did the ancestors of the domestic goat originate	The ancestors of the domestic goat originated in the Middle East and Central Asia.	Yes	Yes, the candidate is correct. The ancestors of the domestic goat originated in the Middle East and Central Asia, which includes the region of Iran.
20	where did the ancestors of the domestic goat originate	the mountains of western Asia	Yes	Yes, the candidate is correct. The ancestors of the domestic goat originated in the mountains of western Asia, which includes the region of Iran.
20	where did the ancestors of the domestic goat originate	Southwest Asia and Eastern Europe	Yes	Yes, the candidate is correct. The ancestors of the domestic goat originated in Southwest Asia (including Iran) and Eastern Europe.
20	where did the ancestors of the domestic goat originate	wild goat of southwestern asia	Yes	Yes, the candidate is correct. The ancestors of the domestic goat originated from the wild goat of southwestern Asia, specifically in the region of present-day Iran.
20	where did the ancestors of the domestic goat originate	Southwest Asia	Yes	Yes, the candidate is correct. The ancestors of the domestic goat originated in Southwest Asia, specifically in the region of present-day Iran.
20	where did the ancestors of the domestic goat originate	eurasia	No	No, the candidate is not correct. The ancestors of the domestic goat originated in Iran.
21	who played major hochstetter in hogan's heroes	Werner Klemperer.	No	No, the candidate is not correct. Howard Caine played Major Hochstetter in Hogan's Heroes.
21	who played major hochstetter in hogan's heroes	howard caine	Yes	Yes, the candidate is correct.
22	latest series of keeping up with the kardashians	The latest series of Keeping Up with the Kardashians is Season 18.	No	No, the candidate is not correct. The latest series of Keeping Up with the Kardashians is Season 20, which aired in 2021.
22	latest series of keeping up with the kardashians	Rob & Chyna	No	No, the candidate is not correct.
22	latest series of keeping up with the kardashians	Season 17	No	No, the candidate is not correct.
22	latest series of keeping up with the kardashians	The fifteenth season	No	No, the candidate is not correct.
22	latest series of keeping up with the kardashians	13th season	No	No, the candidate is not correct.
22	latest series of keeping up with the kardashians	seventh season	No	No, the candidate is not correct.
23	who plays reggie the robot in justin's house	Justin Fletcher	No	No
23	who plays reggie the robot in justin's house	Steven "Steven" Kynman	No	No, the candidate is not correct.
23	who plays reggie the robot in justin's house	steven ` ` steve'' kynman	No	No, the candidate is not correct.
23	who plays reggie the robot in justin's house	Steven "Steve" Kynman	No	No, the candidate is not correct.
23	who plays reggie the robot in justin's house	Robert James	No	No, the candidate is not correct.
23	who plays reggie the robot in justin's house	carly hannah chaikin	No	No, the candidate is not correct.
23	who plays reggie the robot in justin's house	Steven Kynman	No	No, the candidate is not correct.
23	who plays reggie the robot in justin's house	Reggie De Leon plays Reggie the Robot in Justin's House.	No	No, the candidate is incorrect. Ben Faulks plays Reggie the Robot in Justin's House.
24	who wrote he ain't heavy he's my brother lyrics	Bobby Scott	Yes	Yes, the candidate is correct.
24	who wrote he ain't heavy he's my brother lyrics	The lyrics to "He Ain't Heavy, He's My Brother" were written by Bobby Scott and Bob Russell.	Yes	Yes, the candidate is correct.
24	who wrote he ain't heavy he's my brother lyrics	bob russell	Yes	Yes, the candidate is correct.
25	where does the lincoln highway begin and end	Lincoln Park in San Francisco	No	No, the candidate is not correct. The Lincoln Highway begins in Times Square, New York City, and ends at Lincoln Park in San Francisco.
25	where does the lincoln highway begin and end	The Lincoln Highway begins in Times Square in New York City and ends in San Francisco, California.	No	No, the candidate is incorrect. The Lincoln Highway begins in Times Square in New York City and ends at Lincoln Park in San Francisco, California.
25	where does the lincoln highway begin and end	kearney nebraska	No	No, the candidate is not correct. The Lincoln Highway begins in Lincoln Park, San Francisco, and ends in Times Square, New York City.
25	where does the lincoln highway begin and end	Times Square in New York City to Lincoln Park in San Francisco	Yes	Yes, the candidate is correct. The Lincoln Highway begins at Times Square in New York City and ends at Lincoln Park in San Francisco.
25	where does the lincoln highway begin and end	Times Square	No	No, the candidate is not correct. The Lincoln Highway begins at Lincoln Park in San Francisco and ends in Times Square, New York City.
26	when was son of a preacher man released	September 1968	No	No, the candidate is not correct. "Son of a Preacher Man" was released on November 8, 1968.
26	when was son of a preacher man released	Son of a Preacher Man was released in 1968 by Dusty Springfield.	Yes	Yes, the candidate is correct. "Son of a Preacher Man" was released in 1968 by Dusty Springfield.
26	when was son of a preacher man released	1968	Yes	Yes, the candidate is correct.
27	created propaganda to support the war effort & encourage the sale of war bonds	William Gibbs McAdoo	No	No, the candidate is not correct. The correct answer is "the government." However, William Gibbs McAdoo was a key figure in the U.S. government during World War I, serving as the Secretary of the Treasury, and played a significant role in promoting war bonds and supporting the war effort.
27	created propaganda to support the war effort & encourage the sale of war bonds	war advertising board	No	No, the candidate is not correct. The correct answer is "the government."
27	created propaganda to support the war effort & encourage the sale of war bonds	The Committee on Public Information	Yes	Yes, the candidate is correct. The Committee on Public Information was a government agency created during World War I to create propaganda to support the war effort and encourage the sale of war bonds.
27	created propaganda to support the war effort & encourage the sale of war bonds	The War Advertising Board	Yes	Yes, the candidate is correct. The War Advertising Board was a government-created organization that produced propaganda to support the war effort and encourage the sale of war bonds.
27	created propaganda to support the war effort & encourage the sale of war bonds	The United States government created propaganda to support the war effort and encourage the sale of war bonds during World War II.	Yes	Yes, the candidate is correct.
28	what does ss stand for on naval ships	Submarine	No	No, the candidate is not correct.
28	what does ss stand for on naval ships	SS stands for "Steam Ship" on naval ships.	Yes	Yes, the candidate is correct. SS stands for "Steam Ship" on naval ships, which refers to a ship that is powered by a steam engine.
28	what does ss stand for on naval ships	United States Ship	No	No, the candidate is not correct.
28	what does ss stand for on naval ships	destroyer escort	No	No, the candidate is not correct. SS stands for Single-screw Steamship, not destroyer escort.
28	what does ss stand for on naval ships	submarine specialist	No	No, the candidate is not correct.
28	what does ss stand for on naval ships	steamship	Yes	Yes, the candidate is correct. SS stands for Single-screw Steamship, which is a type of steamship.
28	what does ss stand for on naval ships	Steam Ship	Yes	Yes, the candidate is correct. SS stands for Steam Ship on naval ships.
29	india south africa test series 2018 highest runs	Virat Kohli scored the highest runs in the India-South Africa Test series in 2018 with 558 runs.	No	No, the candidate is incorrect. The highest runs in the India-South Africa Test series in 2018 were scored by AB de Villiers with 286 runs.
29	india south africa test series 2018 highest runs	July 11 1901	No	No, the candidate is not correct.
29	india south africa test series 2018 highest runs	296	No	No, the candidate is not correct. The correct answer is AB de Villiers with 286 runs.
29	india south africa test series 2018 highest runs	Virat Kohli ( India ) - 558 runs	No	No, the candidate is not correct. The highest runs in the India-South Africa Test series 2018 were scored by AB de Villiers with 286 runs.
30	who is the lead singer of depeche mode	Dave Gahan.	Yes	Yes, the candidate is correct.
30	who is the lead singer of depeche mode	Dave Gahan	Yes	Yes, the candidate is correct. Dave Gahan is the lead singer of Depeche Mode.
31	where does the show the path take place	upstate new york	Yes	Yes, the candidate is correct.
31	where does the show the path take place	Peru	No	No, the candidate is not correct.
31	where does the show the path take place	The Path is an American drama television series created by Jessica Goldberg and starring Aaron Paul, Michelle Monaghan, and Hugh Dancy. It takes place in upstate New York.	Yes	Yes, the candidate is correct.
31	where does the show the path take place	Parksdale, Long Island	No	No, the candidate is not correct.
32	who won the wwe championship elimination chamber 2018	Roman Reigns	Yes	Yes, the candidate is correct.
32	who won the wwe championship elimination chamber 2018	Alexa Bliss	No	No, the candidate is not correct.
32	who won the wwe championship elimination chamber 2018	The 2018 WWE Championship Elimination Chamber was won by Alexa Bliss.	No	No, the candidate is not correct.
33	who played the female lead in the 1942 film casablanca	Ingrid Bergman.	Yes	Yes, the candidate is correct. Ingrid Bergman played the female lead in the 1942 film Casablanca.
33	who played the female lead in the 1942 film casablanca	Ingrid Bergman	Yes	Yes, the candidate is correct. Ingrid Bergman played the female lead in the 1942 film Casablanca.
34	when did teenage mutant ninja turtles come out	August 8, 2014	No	No, the candidate is not correct. The Teenage Mutant Ninja Turtles first appeared in 1984.
34	when did teenage mutant ninja turtles come out	March 30 1990	No	No, the candidate is not correct. The Teenage Mutant Ninja Turtles first appeared in comic books in 1984. The date mentioned by the candidate, March 30, 1990, is the release date of the first Teenage Mutant Ninja Turtles live-action movie.
34	when did teenage mutant ninja turtles come out	The Teenage Mutant Ninja Turtles first appeared in an American comic book published in May 1984.	Yes	Yes, the candidate is correct.
34	when did teenage mutant ninja turtles come out	May 1984	Yes	Yes, the candidate is correct. Teenage Mutant Ninja Turtles first came out in May 1984.
34	when did teenage mutant ninja turtles come out	1984	Yes	Yes, the candidate is correct.
35	who turns into a bear in the hobbit	Beorn	Yes	Yes, the candidate is correct.
35	who turns into a bear in the hobbit	Beorn.	Yes	Yes, the candidate is correct.
36	what is the setting of the book hoot	an unnamed fantasy world	No	No, the candidate is not correct. The correct answer is Florida.
36	what is the setting of the book hoot	Coconut Cove, Florida	Yes	Yes, the candidate is correct. The setting of the book "Hoot" is Coconut Cove, Florida.
36	what is the setting of the book hoot	florida	Yes	Yes, the candidate is correct.
36	what is the setting of the book hoot	The setting of the book Hoot is Florida.	Yes	Yes, the candidate is correct. The setting of the book Hoot is Florida.
36	what is the setting of the book hoot	Coconut Cove , Florida	Yes	Yes, the candidate is correct. The setting of the book "Hoot" is in Coconut Cove, Florida.
37	when did michael jordan return to the nba	March 1995	Yes	Yes, the candidate is correct. Michael Jordan returned to the NBA in March 1995.
37	when did michael jordan return to the nba	Michael Jordan returned to the NBA in 1995.	Yes	Yes, the candidate is correct. Michael Jordan returned to the NBA in 1995.
37	when did michael jordan return to the nba	2001–02	No	No, the candidate is not correct. Michael Jordan returned to the NBA in March 1995.
37	when did michael jordan return to the nba	March 18 , 1995	Yes	Yes, the candidate is correct. Michael Jordan returned to the NBA on March 18, 1995.
38	when was the miraculous journey of edward tulane published	2006	Yes	Yes, the candidate is correct.
38	when was the miraculous journey of edward tulane published	The Miraculous Journey of Edward Tulane was published in 2006.	Yes	Yes, the candidate is correct.
39	who has the most 70 point games in nba history	David Robinson	No	No, the candidate is not correct. Wilt Chamberlain has the most 70-point games in NBA history.
39	who has the most 70 point games in nba history	wilt chamberlain	Yes	Yes, the candidate is correct. Wilt Chamberlain has the most 70-point games in NBA history.
39	who has the most 70 point games in nba history	David Thompson	No	No, the candidate is not correct. Wilt Chamberlain has the most 70-point games in NBA history.
39	who has the most 70 point games in nba history	Wilt Chamberlain has the most 70 point games in NBA history with 32.	Yes	Yes, the candidate is correct. Wilt Chamberlain has the most 70 point games in NBA history with 32.
39	who has the most 70 point games in nba history	Kareem Abdul-Jabbar	No	No, the candidate is not correct. The correct answer is Wilt Chamberlain.
40	where is the slide placed on the microscope	The slide is placed on the stage of the microscope.	Yes	Yes, the candidate is correct.
40	where is the slide placed on the microscope	stage	Yes	Yes, the candidate is correct.
40	where is the slide placed on the microscope	On the stage	Yes	Yes, the candidate is correct.
41	what is the oasis in ready player one	virtual reality	Yes	Yes, the candidate is correct.
41	what is the oasis in ready player one	virtual reality entertainment universe	Yes	Yes, the candidate is correct. The OASIS in Ready Player One is a virtual reality entertainment universe or simulator.
41	what is the oasis in ready player one	A virtual reality world	Yes	Yes, the candidate is correct.
41	what is the oasis in ready player one	The Oasis in Ready Player One is a virtual reality world created by James Halliday. It is a massive online universe where people can interact, play games, and explore.	Yes	Yes, the candidate is correct. The Oasis in Ready Player One is a virtual reality world where people can interact, play games, and explore.
41	what is the oasis in ready player one	parzival	No	No, the candidate is not correct.
42	who was involved in the mapp vs ohio case	Dolly Mapp	Yes	Yes, the candidate is correct. Dollree Mapp, also known as Dolly Mapp, was involved in the Mapp v. Ohio case.
42	who was involved in the mapp vs ohio case	Edward Keeling	No	No, the candidate is not correct. The correct answer is Dollree Mapp.
42	who was involved in the mapp vs ohio case	dollree mapp	Yes	Yes, the candidate is correct.
42	who was involved in the mapp vs ohio case	Potter Stewart	No	No, the candidate is not correct. Potter Stewart was a Supreme Court Justice who participated in the case, but the question asks for the person involved in the case, which is Dollree Mapp.
42	who was involved in the mapp vs ohio case	United States	No	No, the candidate is not correct.
42	who was involved in the mapp vs ohio case	The Mapp v. Ohio case was a landmark decision by the United States Supreme Court in 1961 that held that evidence obtained in violation of the Fourth Amendment, which protects against unreasonable searches and seizures, could not be used in state criminal prosecutions. The case was brought by Dollree Mapp, who was convicted of possessing obscene materials after police officers searched her home without a warrant.	Yes	Yes, the candidate is correct. Dollree Mapp was involved in the Mapp v. Ohio case.
42	who was involved in the mapp vs ohio case	don king	No	No, the candidate is not correct. The correct answer is Dollree Mapp.
43	who is known as the father of indian constitution	bhimrao ramji ambedkar	Yes	Yes, the candidate is correct.
43	who is known as the father of indian constitution	Dr. B.R. Ambedkar is known as the father of the Indian Constitution.	Yes	Yes, the candidate is correct. Dr. B.R. Ambedkar, also known as Bhimrao Ramji Ambedkar, is known as the father of the Indian Constitution.
43	who is known as the father of indian constitution	B. R. Ambedkar	Yes	Yes, the candidate is correct. B. R. Ambedkar (Bhimrao Ramji Ambedkar) is known as the father of the Indian Constitution.
44	where did this case of product tampering occur	Tylenol	Yes	Yes, the candidate is correct. The Tylenol product tampering case occurred in the Chicago metropolitan area.
44	where did this case of product tampering occur	the bottling plant	No	No, the candidate is not correct.
44	where did this case of product tampering occur	Unknown.	Yes	Yes, the candidate is correct.
44	where did this case of product tampering occur	the United States	Yes	Yes, the candidate is correct. The Chicago metropolitan area is located in the United States.
44	where did this case of product tampering occur	us	No	No
44	where did this case of product tampering occur	united states	No	No
44	where did this case of product tampering occur	The Bay Area Laboratory Co-operative	No	No, the candidate is not correct.
44	where did this case of product tampering occur	never solved	No	The candidate does not provide a correct answer to the question. The question asks for the location of the product tampering case, which is correctly answered as "the Chicago metropolitan area." The candidate's response, "never solved," refers to the status of the case rather than its location.
45	who plays rachel on jessie punch dumped love	Kristen Bell	No	No, the candidate is not correct.
45	who plays rachel on jessie punch dumped love	Unknown.	Yes	Yes, the candidate is correct.
45	who plays rachel on jessie punch dumped love	Emily Watson	No	No, the candidate is not correct.
45	who plays rachel on jessie punch dumped love	Debby Ryan	No	No, the candidate is not correct.
